acid,epoxide,tg_md
COc1ccc(NC(=O)C(=O)N2CCC(C)(C(=O)O)CC2)c(C(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,498.1226
N#Cc1ccccc1Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,Cc1ccc(NC(=O)N(C)C)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,525.3255
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(N2CCC(O)CC2)cc1,547.9720
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(N3CCCC3=O)c2)c1=O,Cc1ccc(N2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)cc1C,511.7008
CN(C)C(=O)c1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(O)c1ccnc(NC(=O)N(CC2CO2)CC2CO2)c1,542.9907
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,O=C(C(=O)N(CC1CO1)CC1CO1)N1CCC(CCc2ccccc2)CC1,517.0404
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(C(=O)N2CC(=O)Nc3ccccc32)cc1,CCc1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,544.5835
Cc1cc(C)c(NC(=O)c2cc(C(=O)O)c(C(=O)Nc3c(C)cc(C)cc3C)cc2C(=O)O)c(C)c1,CN(C(=O)c1ccco1)c1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,538.6882
O=C(O)c1ccc2c(c1)C(=O)N(CCCCN1C(=O)c3ccc(C(=O)O)cc3C1=O)C2=O,O=C(Nc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1)NC1CC1,563.6252
Nc1ccc(C(=O)O)c(NC(=O)c2ccc(C(=O)Nc3cc(N)ccc3C(=O)O)cc2)c1,O=C(CCCN1C(=O)c2ccccc2C1=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,532.7715
O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)c1,O=C(Nc1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1)NC1CC1,581.3672
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3c(c2)OCO3)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)N1CCC(Nc2ccccc2)CC1,492.7585
O=C(Nc1ccc(O)c(C(=O)O)c1)c1cccc(C(=O)Nc2ccc(O)c(C(=O)O)c2)c1,COC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)o1,550.6483
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3ccccc3c2)c1=O,CC(=O)Nc1cc(NC(=O)C(=O)N(CC2CO2)CC2CO2)ccc1C,566.5484
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,N#Cc1ccc(CNC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,528.4464
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)cc1,O=CNc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,576.5084
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,CC(C)Oc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,579.3152
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccccc3C(=O)O)cc1)C2=O,COc1ccc(NC(=O)c2cccc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)c2)cn1,517.2727
CC(=O)NCc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1N1CCNC1=O,536.3607
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)NC(=O)Nc2ccccc2)c1=O,NC(=O)c1ccccc1NC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,516.4515
COc1ccccc1N1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O,O=C(Nc1ccc(OCC2CO2)cc1OCC1CO1)c1cc(C(=O)O)on1,559.7185
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,O=C(Nc1cccc(CO)c1)c1ccc(OCC2CO2)cc1OCC1CO1,530.2250
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)NC(=O)Nc2ccccc2)c1=O,Cc1cc(N2CCNC2=O)ccc1NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,500.2906
CNC(=O)c1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)NCc1ccccc1,523.6443
CC(C)(C)C(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1cc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c2cnn(C)c2n1,543.4132
